Sex,Cases,Date,Perecent_Cases,Deaths,Percent_Deaths,Ca_Population
Unknown,1268,7/3/2020,0.5,8,0.1,0
Female,128461,7/4/2020,49.4,2740,43.7,50.3
Male,130351,7/4/2020,50.1,3517,56.1,49.7
Unknown,1343,7/4/2020,0.5,8,0.1,0
Female,134224,7/5/2020,49.4,2759,43.8,50.3
Male,136050,7/5/2020,50.1,3534,56.1,49.7
Unknown,1410,7/5/2020,0.5,8,0.1,0
Female,137284,7/6/2020,49.4,2785,43.8,50.3
Male,139077,7/6/2020,50.1,3569,56.1,49.7
Unknown,1413,7/6/2020,0.5,8,0.1,0
Female,142868,7/7/2020,49.4,2831,43.7,50.3
Male,145044,7/7/2020,50.1,3636,56.2,49.7
Unknown,1556,7/7/2020,0.5,8,0.1,0
Female,146384,7/8/2020,49.4,2888,43.6,50.3
Male,148498,7/8/2020,50.1,3725,56.3,49.7
Unknown,1617,7/8/2020,0.5,8,0.1,0
Female,150192,7/9/2020,49.4,2951,43.5,50.3
Male,152444,7/9/2020,50.1,3828,56.4,49.7
Unknown,1661,7/9/2020,0.5,8,0.1,0
Female,154241,7/10/2020,49.4,2989,43.4,50.3
Male,156397,7/10/2020,50.1,3895,56.5,49.7
Unknown,1706,7/10/2020,0.5,8,0.1,0
Female,158488,7/11/2020,49.4,3026,43.3,50.3
Male,160558,7/11/2020,50,3954,56.6,49.7
Unknown,1758,7/11/2020,0.5,9,0.1,0
Female,162718,7/12/2020,49.4,3040,43.3,50.3
Male,164635,7/12/2020,50,3965,56.5,49.7
Unknown,1809,7/12/2020,0.5,9,0.1,0
Female,166525,7/13/2020,49.5,3046,43.3,50.3
Male,168074,7/13/2020,50,3983,56.6,49.7
Unknown,1909,7/13/2020,0.5,10,0.1,0
Female,172288,7/14/2020,49.6,3107,43.4,50.3
Male,173454,7/14/2020,49.9,4048,56.5,49.7
Unknown,1892,7/14/2020,0.5,9,0.1,0
Female,176728,7/15/2020,49.6,3151,43.3,50.3
Male,177540,7/15/2020,49.8,4122,56.6,49.7
Unknown,1910,7/15/2020,0.5,10,0.1,0
Female,181894,7/16/2020,49.7,3194,43.1,50.3
Male,182303,7/16/2020,49.8,4205,56.8,49.7
Unknown,1967,7/16/2020,0.5,10,0.1,0
Female,186551,7/17/2020,49.7,3242,43.1,50.3
